
2,426,1.0
2,304,1.0
2,178,1.0
2,531,1.0
2,243,1.0
2,86,1.0
2,186,1.0
2,92,1.0
3,161,1.0
3,289,1.0
3,387,1.0
3,419,1.0
3,485,1.0
3,294,1.0
3,5,1.0
3,170,1.0
3,75,1.0
3,491,1.0
3,523,1.0
3,462,1.0
3,459,1.0
3,437,1.0
3,181,1.0
3,21,1.0
3,150,1.0
3,249,1.0
3,347,1.0
3,220,1.0
4,128,1.0
4,259,1.0
4,390,1.0
4,7,1.0
4,265,1.0
4,287,1.0
4,427,1.0
4,428,1.0
4,47,1.0
4,309,1.0
4,315,1.0
4,583,1.0
4,204,1.0
4,205,1.0
4,462,1.0
4,338,1.0
4,84,1.0
4,596,1.0
4,340,1.0
4,218,1.0
4,609,1.0
4,104,1.0
4,237,1.0
4,118,1.0
4,503,1.0
4,382,1.0
5,281,1.0
6,32,1.0
6,449,1.0
6,162,1.0
6,4,1.0
6,90,1.0
6,70,1.0
6,40,1.0
6,361,1.0
6,297,1.0
6,303,1.0
6,563,1.0
6,468,1.0
6,154,1.0
6,571,1.0
6,31,1.0
6,319,1.0
7,161,1.0
7,450,1.0
7,516,1.0
7,4,1.0
7,548,1.0
7,585,1.0
7,73,1.0
7,428,1.0
7,557,1.0
7,12,1.0
7,524,1.0
7,623,1.0
7,369,1.0
7,310,1.0
7,29,1.0
8,96,1.0
8,64,1.0
8,295,1.0
8,359,1.0
8,369,1.0
8,530,1.0
8,571,1.0
9,194,1.0
9,133,1.0
9,200,1.0
9,41,1.0
9,537,1.0
9,569,1.0
9,337,1.0
9,284,1.0
9,281,1.0
9,60,1.0
9,125,1.0
10,544,1.0
10,577,1.0
10,165,1.0
10,262,1.0
10,7,1.0
10,616,1.0
10,457,1.0
10,490,1.0
10,263,1.0
10,170,1.0
10,175,1.0
10,80,1.0
10,209,1.0
10,342,1.0
10,247,1.0
10,604,1.0
10,285,1.0
10,478,1.0
10,319,1.0
11,418,1.0
11,420,1.0
11,101,1.0
11,42,1.0
11,554,1.0
11,112,1.0
11,434,1.0
11,371,1.0
11,467,1.0
11,405,1.0
11,344,1.0
11,377,1.0
11,570,1.0
11,379,1.0
12,2,1.0
12,514,1.0
12,548,1.0
12,488,1.0
12,479,1.0
12,427,1.0
12,458,1.0
12,535,1.0
12,537,1.0
12,255,1.0
13,257,1.0
13,419,1.0
13,4,1.0
13,525,1.0
13,142,1.0
13,188,1.0
13,220,1.0
14,130,1.0
14,261,1.0
14,390,1.0
14,137,1.0
14,523,1.0
14,16,1.0
14,272,1.0
14,280,1.0
14,541,1.0
14,414,1.0
14,31,1.0
14,553,1.0
14,426,1.0
14,190,1.0
14,598,1.0
14,220,1.0
14,606,1.0
14,222,1.0
14,611,1.0
